samplers,SlaughterDate,Timepoint,Diet,Diet_Tank,ID,BW,Length,Sex,cataract_V,cataract_H,cataract_sum,Fat_Score,Heart_Score,softliver,patchy_liver,Liver_Score,Heart_W,Liver_W,GW,SlaughYield,CF,HSI,CSI,L,a,b,Gut_Abstruc,Gut_light,Anus_ble,Gut_ble,Sca_lossScor,Bleeding,Parr_mark,Tail_sli,UJ_dform,LJ_dform,O_dform,Ryggf_d,BugF_sli,BugF_bleed,Deform
sample189,29/10/20,T2,MC2,MC2-1,9,111.5,21.3,F,0,0,0,3,0,0,0,3,0.171,0.87,99,88.78923767,1.15,0.78,0.15,,,,,,,,2.5,0,0,0.5,0,0,0,2,1,0,0
sample190,29/10/20,T2,MC2,MC2-1,10,164,24.4,M,0,0,0,3.5,0.5,0,0,4.5,0.225,0.98,149.8,91.34146341,1.13,0.6,0.14,,,,0,1,1,1,1.5,0,0,1,0,0,0,1,1,0,0
sample191,29/10/20,T2,MC1,MC1-2,1,107,21.3,F,0,0,0,3,0,0,0,3,0.17,0.71,99.4,92.89719626,1.11,0.66,0.16,,,,0,1,,1,1,0,0,1,0,0,0,0.5,1,0,0
sample192,29/10/20,T2,MC1,MC1-2,2,174.4,24.4,M,0,0,0,3,0.5,0,0,3,0.231,,158,90.59633028,1.2,,0.13,,,,0,1,,1,1.5,0,0,0,0,0,0,2,1,0,0
sample193,29/10/20,T2,MC1,MC1-2,3,106,21.8,M,0,0,0,3.5,0,0,0,3.5,0.145,0.64,,,1.02,0.6,0.14,,,,0,1,,0,1.5,0,0,0,0,0,0,0,0.5,0,0
sample194,29/10/20,T2,MC1,MC1-2,4,202.57,25.9,F,0,0,0,2,0,0,0,4,0.216,1.58,185.6,91.62264896,1.17,0.78,0.11,,,,1,1,1,1,1,,0,0,0,0,0,2,0.5,0,0
sample195,29/10/20,T2,MC1,MC1-2,5,78.4,19.3,M,0,0,0,3,0,0,0,3.5,0.119,0.63,71.7,91.45408163,1.09,0.8,0.15,,,,0,1,,1,0.5,0,0,2,0,0,0.5,0,1,0,0
sample196,29/10/20,T2,MC1,MC1-2,6,151.8,24.2,M,0,0,0,3,,0,0,4,,1.2,141,92.88537549,1.07,0.79,,,,,0,1,,0,0.5,,0,0.5,0,0,0,0,1,0,0
sample197,29/10/20,T2,MC1,MC1-2,7,104.2,26,F,0,0,0,3,0,0,0,3.5,0.173,0.71,94.2,90.40307102,,0.68,0.17,,,,1,1,,0,1,0,0,0.5,0,0,0,1,0.5,0,0
sample198,29/10/20,T2,MC1,MC1-2,8,144,23.2,F,0,0,0,2,0,0,0,3,0.231,0.81,129.8,90.13888889,1.15,0.56,0.16,,,,1,1,1,1,2,0,0,0.5,0,0,0,0,2,0,0
sample199,29/10/20,T2,MC1,MC1-2,9,122.8,22.5,F,0,0,0,3.5,,0,0,4,0.222,0.84,110,89.57654723,1.08,0.68,0.18,,,,0,1,,0,1.5,,0,0,0,0,0,0,2,0,0
sample200,29/10/20,T2,MC1,MC1-2,10,93.7,20.2,M,0,0,0,2,0,0,0,3,0.146,0.67,84.2,89.86125934,1.14,0.72,0.16,,,,1,1,,1,0.5,0,0,0.5,0,0,0,2,2,0,0
sample201,29/10/20,T2,MC2,MC2-2,1,121,22,F,0,0,0,2,0,1,0,3.5,0.176,1.15,111.6,92.23140496,1.14,0.95,0.15,,,,0,1,,1,2,0,0,1,0,0,0,0,0.5,0,0
sample202,29/10/20,T2,MC2,MC2-2,2,133.8,23.1,M,0,0,0,2,,1,0,3,,0.96,122.2,91.3303438,1.09,0.72,,,,,0,1,,1,1.5,0,0,1,0,0,0,1,2,0,0
sample203,29/10/20,T2,MC2,MC2-2,3,119.2,20.4,M,0,0,0,1.5,0,0,0,3,0.111,1.09,105.9,88.84228188,1.4,0.91,0.09,,,,0,1,,0,0.5,0,0,0,0,0,0,0,1,0,0
sample204,29/10/20,T2,MC2,MC2-2,4,116.9,20.7,M,0,0,0,1.5,0,1,0,3,0.144,0.99,104.3,89.22155689,1.32,0.85,0.12,,,,0,1,,1,2,0,0,1,0,0,0,1.5,1,0,0
sample205,29/10/20,T2,MC2,MC2-2,5,90.4,19.6,F,0,0,0,2,0,1,0,3.5,0.147,0.88,81.2,89.82300885,1.2,0.97,0.16,,,,1,1,,0,1,0,0,2,0,0,0,1.5,1,0,0
sample206,29/10/20,T2,MC2,MC2-2,6,69.5,17.8,M,0,0,0,2,0,0,0,3,0.084,0.49,63.78,91.76978417,1.23,0.71,0.12,,,,1,0,1,0,1,0,0,0,0,0,0,0,1.5,0,0
sample207,29/10/20,T2,MC2,MC2-2,7,115.9,22.8,M,0,0,0,3,0.5,1,0,3,0.19,0.88,101,87.14408973,0.98,0.76,0.16,,,,0,1,,0,1.5,0,0,1.5,0,0,0,3,1.5,0,0
sample208,29/10/20,T2,MC2,MC2-2,8,96.7,20.3,M,0,0,0,3,0,0,0,3,0.71,0.8,,,1.16,0.83,0.73,,,,1,1,1,0,2,0,0,0,0,0,0,0,1.5,0,0
sample209,29/10/20,T2,MC2,MC2-2,9,126.4,22.3,F,0,0,0,3,0,0,0,3.5,0.222,0.9,114,90.18987342,1.14,0.71,0.18,,,,0,1,,1,1.5,0,0,0,0,0,0,1,0,0,0
sample210,29/10/20,T2,MC2,MC2-2,10,108.1,21.1,,0,0,0,3,0,0,0,3.5,,0.83,97.4,90.10175763,1.15,0.77,,,,,0,0,1,0,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample211,29/10/20,T2,CTR,CTR-2,1,84.8,19.4,F,0,0,0,2,0,0,0,2,,0.78,78,91.98113208,1.16,0.92,,,,,,,,,1,0,0,0.5,0,0,0,0,0,0,0
sample212,29/10/20,T2,CTR,CTR-2,2,141.2,22.8,M,0,0,0,2.5,0,1,0,3,0.262,0.9,129.4,91.64305949,1.19,0.64,0.19,,,,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
sample213,29/10/20,T2,CTR,CTR-2,3,119.4,21,M,0,0,0,2.5,0,1,0,3,0.185,1.03,107.2,89.78224456,1.29,0.86,0.15,,,,0,1,,0,1,0,0,0.5,0,0,0,1.5,0,0,0
sample214,29/10/20,T2,CTR,CTR-2,4,102.8,20.8,F,0,0,0,3,0,0,0,3.5,0.158,0.79,91.4,88.91050584,1.14,0.77,0.15,,,,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0
sample215,29/10/20,T2,CTR,CTR-2,5,96.5,20.4,F,0,0,0,3,0,0,0,4,0.147,0.71,85.3,88.39378238,1.14,0.74,0.15,,,,0,1,,1,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample216,29/10/20,T2,CTR,CTR-2,6,166.7,24.5,F,0,0,0,3,0.5,0,0,4,0.241,1.32,153.5,92.08158368,1.13,0.79,0.14,,,,1,1,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0
