samplers,SlaughterDate,Timepoint,Diet,Diet_Tank,ID,BW,Length,Sex,cataract_V,cataract_H,cataract_sum,Fat_Score,Heart_Score,softliver,patchy_liver,Liver_Score,Heart_W,Liver_W,GW,SlaughYield,CF,HSI,CSI,L,a,b,Gut_Abstruc,Gut_light,Anus_ble,Gut_ble,Sca_lossScor,Bleeding,Parr_mark,Tail_sli,UJ_dform,LJ_dform,O_dform,Ryggf_d,BugF_sli,BugF_bleed,Deform
sample257,30/10/20,T2,MN3,MN3-3,7,109.4,21.7,M,0,0,0,3,0,0,0,3,0.159,0.55,100,91.40767824,1.07,0.5,0.15,,,,0,1,,1,1,0,0,0.5,0,0,0,0,0,0,0
sample258,30/10/20,T2,MN3,MN3-3,8,110.9,20.5,F,0,0,0,2,0.5,1,0,3,0.174,0.89,100.4,90.53201082,1.29,0.8,0.16,,,,0,1,0,0,1,0,0,0.5,0,0,0,2,0.5,0,1
sample259,30/10/20,T2,MN3,MN3-3,9,115.4,22.2,M,0,0,0,3,0.5,1,0,3,0.156,0.95,105,90.98786828,1.05,0.82,0.14,,,,0,1,1,0,1,0,0,2,0,0,1,0,2,0,0
sample260,30/10/20,T2,MN3,MN3-3,10,124,22.8,M,0,0,0,2,0,1,0,3,0.219,1.07,110.6,89.19354839,1.05,0.86,0.18,,,,1,1,1,0,1.5,0,0,0.5,0,0,0,3,1,0,0
sample261,30/10/20,T2,MC1,MC1-3,1,97.05,20.6,F,0,0,0,2,0,1,0,3,0.129,0.73,88.2,90.88098918,1.11,0.75,0.13,,,,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
sample262,30/10/20,T2,MC1,MC1-3,2,145.7,23.2,M,0,0,0,2.5,0.5,0,0,3,0.211,1.27,133.3,91.4893617,1.17,0.87,0.14,,,,0,1,1,0,2,0,0,0.5,0,0,0,0,0.5,0,0
sample263,30/10/20,T2,MC1,MC1-3,3,102.4,21.2,M,0,0,0,2.5,0.5,0,0,3,0.159,0.77,93.4,91.2109375,1.07,0.75,0.16,,,,1,1,1,0,0.5,0,0,3,0,0,0,1,1,0,0
sample264,30/10/20,T2,MC1,MC1-3,4,98.6,20.8,F,0,0,0,2,0,1,0,2,0.173,0.64,90,91.27789047,1.1,0.65,0.18,,,,1,1,1,1,1.5,0,0,0.5,0,0,0,1,1,0,0
sample265,30/10/20,T2,MC1,MC1-3,5,92.4,20.3,M,0,0,0,2,0,1,0,3,0.169,0.8,84.3,91.23376623,1.1,0.87,0.18,,,,0,1,,1,1.5,0,0,0.5,0,0,0.5,1,1,0,0
sample266,30/10/20,T2,MC1,MC1-3,6,119,22,F,0,0,0,3,0,1,0,3,0.198,1.06,111,93.27731092,1.12,0.89,0.17,,,,0,1,,0,1,0,0,1,0,0,0.5,0,0,0,1
sample267,30/10/20,T2,MC1,MC1-3,7,170,24.3,M,0,0,0,1.5,0.5,0,0,3,0.337,1.58,155,91.17647059,1.18,0.93,0.2,,,,0,1,1,0,1,0,0,1,0,0,0,2,1,0,0
sample268,30/10/20,T2,MC1,MC1-3,8,128,22.5,F,0,0,0,2.5,0,1,0,3.5,0.24,1.22,113,88.28125,1.12,0.95,0.19,,,,1,1,1,0,0,0,0,0.5,0,0,0,1,0,0,0
sample269,30/10/20,T2,MC1,MC1-3,9,121.7,22.2,M,0,0,0,2,0.5,1,0,3,0.188,0.94,110,90.38619556,1.11,0.77,0.15,,,,1,1,1,0,,,,,,,,,,,0
sample270,30/10/20,T2,MC1,MC1-3,10,197,24.3,M,0,0,0,1.5,0.5,0,0,3,0.323,2.62,170,86.29441624,1.37,1.33,0.16,,,,1,1,1,0,1,0,0,0,0,0,0,0.5,1,0,0
sample271,12/12/20,T3,MC2,MC2-3,1,202,25.3,M,0,0,0,1,0,0,1,1,0.267,2.98,171,84.65346535,1.25,1.48,0.13,,,,0,1,,1,0.5,0,0,0,0,0,0,3,0,0,0
sample272,12/12/20,T3,MC2,MC2-3,2,217,25.5,M,0,0,0,1,0,0,1,1,,3.32,186,85.71428571,1.31,1.53,,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
sample273,12/12/20,T3,MC2,MC2-3,3,180,24.2,M,0,0,0,1.5,0,0,0,2,0.298,2.53,154,85.55555556,1.27,1.41,0.17,,,,0,1,,0,0,0,0,1,1,0,0,0.5,0.5,0,0
sample274,12/12/20,T3,MC2,MC2-3,4,244,27.2,F,0,0,0,1,0,1,0,2,0.436,2.65,210,86.06557377,1.21,1.09,0.18,,,,0,1,,0,0,0,0,0.5,0,0,0,0,0.5,0,0
sample275,12/12/20,T3,MC2,MC2-3,5,153,23.6,F,0,0,0,1,0,0,0,2,0.259,1.69,129,84.31372549,1.16,1.1,0.17,,,,1,1,,0,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample276,12/12/20,T3,MC2,MC2-3,6,243,26.8,M,0,0,0,1,0,1,1,2,0.401,2.45,208,85.59670782,1.26,1.01,0.17,,,,0,1,,1,0.5,0,0,1,0,0,0,1,2,0,0
sample277,12/12/20,T3,MC2,MC2-3,7,225,26.4,F,0,0,0,1,0,0,1,1,0.431,3,193,85.77777778,1.22,1.33,0.19,,,,0,1,,0,0,0,0,3,0,0,0,0,0,0,0
sample278,12/12/20,T3,MC2,MC2-3,8,206,24.8,F,0,0,0,1,0,0,1,1,0.327,,174,84.46601942,1.35,,0.16,,,,0,1,,0,0,0,0,0.5,0,0,0,0,1,0,0
sample279,12/12/20,T3,MC2,MC2-3,9,238,26.7,M,0,0,0,1,0,0,0,2,0.349,4.1,204,85.71428571,1.25,1.72,0.15,,,,0,1,,0,1,0,0,0,0,0,0,2.5,0.5,0,0
sample280,12/12/20,T3,MC2,MC2-3,10,152,20,F,0,0,0,1,0,0,0,1.5,0.245,1.78,133,87.5,,1.17,0.16,,,,0,1,,0,0.5,0,0,0,1,0,0,2,0.5,0,1
sample281,12/12/20,T3,CTR,CTR-3,1,190,24.9,F,0,0,0,1,0,0,0,1,0.313,3.2,160,84.21052632,1.23,1.68,0.16,,,,0,1,,0,1,0,0,0,0,0,0,0,0.5,0,0
sample282,12/12/20,T3,CTR,CTR-3,2,193,26.1,M,0,0,0,1,0,1,0,2,0.301,2.38,168,87.04663212,1.09,1.23,0.16,,,,0,1,,0,0.5,0,0,0,0,0,0.5,1,0,0,0
sample283,12/12/20,T3,CTR,CTR-3,3,281,27.8,M,0,0,0,1,0,1,1,2,0.25,4,239,85.05338078,1.31,1.42,0.09,,,,0,1,,0,1.5,0,0,2,0,0,0,0,2,0,0
sample284,12/12/20,T3,CTR,CTR-3,4,148,23.4,F,0,0,0,1,0,1,1,1.5,0.289,1.6,127,85.81081081,1.16,1.08,0.2,,,,1,1,1,0,1.5,0,0,0,0,0,0,0,0,0,0
sample285,12/12/20,T3,CTR,CTR-3,5,144,22.2,,0,0,0,1,0,1,1,1.5,0.308,2.1,124,86.11111111,1.32,1.46,0.21,,,,0,1,,0,0.5,0,0,0,0,0,0,0,0.5,0,0
sample286,12/12/20,T3,CTR,CTR-3,6,139,23,M,0,0,0,2,0,1,1,1,0.37,1.6,124,89.20863309,1.14,1.15,0.27,,,,1,1,,0,1,0,0,0,0,0,0,0,0.5,0,0
sample287,12/12/20,T3,CTR,CTR-3,7,261,26.8,M,0,0,0,1.5,0,0,0,2,0.495,4.2,222,85.05747126,1.36,1.61,0.19,,,,0,1,,0,1,0,0,0,0,0,0,0,2,0,0
sample288,12/12/20,T3,CTR,CTR-3,8,243,26.4,F,0,0,0,1,0,0,0,2,0.419,3.5,206,84.77366255,1.32,1.44,0.17,,,,0,1,,0,1,0,0,1,1,0,0,2,1,0,0
sample289,12/12/20,T3,CTR,CTR-3,9,201,24,F,0,0,0,1,0,1,1,1,0.385,2.9,172,85.5721393,1.45,1.44,0.19,,,,0,1,,0,1.5,0,0,1,0,0,0,0,0.5,0,0
sample290,12/12/20,T3,CTR,CTR-3,10,211,26.3,F,0,0,0,2,0,0,0,2,0.431,2.45,188,89.09952607,1.16,1.16,0.2,,,,0,1,1,0,1.5,0,0,0.5,1,0,0,1,2,0,0
sample291,12/12/20,T3,MN3,MN3-3,1,229,26.8,F,0,0,0,1,0,1,1,1,0.363,4.6,190,82.96943231,1.19,2.01,0.16,,,,0,1,,0,0.5,0,0,0.5,1,0,0,1,1,0,0
sample292,12/12/20,T3,MN3,MN3-3,2,153,23.3,F,0,0,0,1.5,0,1,1,1.5,0.294,2.2,131,85.62091503,1.21,1.44,0.19,,,,0,1,,0,0.5,0,0,0.5,0,0,0,0.5,1,0,0
sample293,12/12/20,T3,MN3,MN3-3,3,163,23.8,F,0,0,0,1.5,0,0,1,2,0.241,2.6,139,85.27607362,1.21,1.6,0.15,,,,0,1,,1,0.5,0,0,0,0,0,0,0.5,0,0,0
sample294,12/12/20,T3,MN3,MN3-3,4,199,24.7,F,0,0,0,2,0.5,0,0,2,0.359,2.6,172,86.4321608,1.32,1.31,0.18,,,,0,1,,0,0.5,0,0,0,0,0,0,1,0,0,0
sample295,12/12/20,T3,MN3,MN3-3,5,182,24,F,1,1,2,1.5,0.5,1,0,1,0.307,2.5,152,83.51648352,1.32,1.37,0.17,,,,0,1,1,0,0.5,0,0,0,1,0,0,2,0,0,0
sample296,12/12/20,T3,MN3,MN3-3,6,238,26,M,0,0,0,1.5,1,1,1,1.5,0.406,3.2,205,86.13445378,1.35,1.34,0.17,,,,0,1,,0,1,0,0,0,0,0,0,0,0,0,0
sample297,12/12/20,T3,MN3,MN3-3,7,183,24.6,M,1,0,1,1,0.5,1,0,1.5,0.296,3.1,149,81.42076503,1.23,1.69,0.16,,,,0,0,,0,0.5,0,0,0,0,0,0,1,1,0,0
sample298,12/12/20,T3,MN3,MN3-3,8,192,25.5,,2,0,2,1,0.5,1,0,1.5,0.347,1.5,165,85.9375,1.16,0.78,0.18,,,,0,0,,0,0.5,0,0,0,0,0,0,1,1,0,0
sample299,12/12/20,T3,MN3,MN3-3,9,152,23,F,1,1,2,1.5,0.5,1,0,1,0.283,2.3,131,86.18421053,1.25,1.51,0.19,,,,0,1,,0,0.5,0,0,0,0,0,0,0,0,0,0
sample300,12/12/20,T3,MN3,MN3-3,10,104,21,F,0,0,0,2,0.5,0,0,2,0.186,1.2,88.2,84.80769231,1.12,1.15,0.18,,,,1,0,,0,2.5,0,0,0,0,0,0,0,0.5,0,0
sample301,12/12/20,T3,MC1,MC1-3,1,151,23.8,M,0,1,1,1.5,1.5,1,0,1,0.281,,130,86.09271523,1.12,,0.19,,,,0,1,,0,0.5,0,0,1,0,0,0,0,2,0,0
sample302,12/12/20,T3,MC1,MC1-3,2,174,24,M,0,0,0,1,0.5,0,0,1.5,0.324,2.6,146,83.90804598,1.26,1.49,0.19,,,,0,1,,1,0.5,0,0,2,0,0,0,2,2,0,0
sample303,12/12/20,T3,MC1,MC1-3,3,198,24.8,M,0,0,0,2,0.5,1,1,1,0.319,2.3,174,87.87878788,1.3,1.16,0.16,,,,0,0,,0,0.5,0,0,1,0,0,0,1,2,0,0
sample304,12/12/20,T3,MC1,MC1-3,4,231,26.6,M,0,0,0,2,0.5,0,0,2,0.425,3.1,197,85.28138528,1.23,1.34,0.18,,,,0,1,0,0,1.5,0,0,0,0,0,0,2,0,0,0
sample305,12/12/20,T3,MC1,MC1-3,5,240,23.7,F,1,0,1,2,0,0,0,2,0.39,3.1,184,,,1.29,0.16,,,,0,1,1,0,0.5,0,0,0,0,0,0,2,0,0,0
sample306,12/12/20,T3,MC1,MC1-3,6,188,25,F,0,0,0,,0,0,0,2.5,0.318,2.6,165,87.76595745,1.2,1.38,0.17,,,,0,1,1,0,0.5,0,0,0,0,0,0,1,2,0,0
sample307,12/12/20,T3,MC1,MC1-3,7,216,26.2,F,0,0,0,2,0,0,0,2,0.373,2.6,185,85.64814815,1.2,1.2,0.17,,,,0,1,0,0,0.5,0,0,0,,0,0,0,0,0,0
sample308,12/12/20,T3,MC1,MC1-3,8,222,26.5,M,0,0,0,2,0,0,0,2,0.401,3.9,188,84.68468468,1.19,1.76,0.18,,,,0,1,0,0,1.5,0,0,0,0,0,0,2,1,0,0
sample309,12/12/20,T3,MC1,MC1-3,9,233,26.2,M,0,2,2,1.5,1,0,0,1,0.374,3.4,202,86.69527897,1.3,1.46,0.16,,,,0,1,0,0,1,0,0,0.5,0,0,0,3,0.5,0,0
sample310,12/12/20,T3,MC1,MC1-3,10,291,28.2,M,0,0,0,1.5,0,0,0,1.5,0.488,4.4,251,86.25429553,1.3,1.51,0.17,,,,1,1,,0,1,0,0,0,0,0,0,2,1.5,0,0
sample311,12/12/20,T3,CTR,CTR-1,1,156,23.6,F,0,1,1,1.5,0.5,0,0,2,0.316,2.6,132,84.61538462,1.19,1.67,0.2,,,,0,1,0,0,1,0,0,1.5,0,0,0,0,0,0,0
sample312,12/12/20,T3,CTR,CTR-1,2,263,28.6,F,0,0,0,2,1,0,1,2,0.349,2,230,87.45247148,1.12,0.76,0.13,,,,0,1,,0,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample313,12/12/20,T3,CTR,CTR-1,3,236,27,M,0,0,0,,0.5,1,0,1.5,0.341,3.9,203,86.01694915,1.2,1.65,0.14,,,,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0
sample314,12/12/20,T3,CTR,CTR-1,4,208,25.3,M,0,1,1,1.5,0.5,1,0,2,0.306,2.6,181,87.01923077,1.28,1.25,0.15,,,,0,1,0,0,0.5,0,0,0,0,0,0,2,2,0,0
sample315,12/12/20,T3,CTR,CTR-1,5,111,20,,1,1,2,1,0.5,1,0,1,0.251,1.43,96,86.48648649,1.39,1.29,0.23,,,,0,1,0,0,1,0,0,0,0,0,0,0.5,2,0,0
sample316,12/12/20,T3,CTR,CTR-1,6,260,22,F,1,0,1,2,0.5,1,1,2,0.419,4.7,223,85.76923077,,1.81,0.16,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
sample317,12/12/20,T3,CTR,CTR-1,7,217,25.5,F,0,0,0,2,1.5,0,0,2,0.431,3.5,181,83.41013825,1.31,1.61,0.2,,,,0,1,0,0,2,0,0,0.5,0,0,0,0,1,0,0
sample318,12/12/20,T3,CTR,CTR-1,8,221,26.2,M,0,0,0,2,0.5,1,1,1.5,0.372,3.6,191,86.42533937,1.23,1.63,0.17,,,,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0
sample319,12/12/20,T3,CTR,CTR-1,9,238,27,F,1,3,4,3,0.5,0,0,3,0.418,3.1,208,87.39495798,1.21,1.3,0.18,,,,0,1,0,0,2,0,0,0.5,0,0,0,1.5,0.5,0,0
sample320,12/12/20,T3,CTR,CTR-1,10,213,26.3,F,0,0,0,2,1,0,0,2,0.363,2.64,188,88.2629108,1.17,1.24,0.17,,,,0,1,0,0,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample321,12/12/20,T3,MN3,MN3-1,1,262,27,F,0,0,0,2,0.5,0,0,3,0.448,3.5,230,87.78625954,1.33,1.34,0.17,,,,0,1,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0
sample322,12/12/20,T3,MN3,MN3-1,2,186,24.5,F,0,0,0,2,0,0,0,1.5,0.314,2.3,163,87.6344086,1.26,1.24,0.17,,,,0,1,1,0,2,0,0,0.5,0,0,0,0,2,0,0
sample323,12/12/20,T3,MN3,MN3-1,3,220,27.2,M,0,0,0,2,0.5,0,0,2,0.354,3.2,189,85.90909091,1.09,1.45,0.16,,,,0,1,0,0,2.5,0,0,0,0,0,0,0.5,0.5,0,0
sample324,12/12/20,T3,MN3,MN3-1,4,210,25.5,M,0,0,0,1,0,0,0,1.5,0.387,3.6,178,84.76190476,1.27,1.71,0.18,,,,0,1,0,0,1,0,0,2.5,0,0,0,0,1,0,0
sample325,12/12/20,T3,MN3,MN3-1,5,145,22.5,F,0,0,0,1,0,0,0,1,0.266,2,125,86.20689655,1.27,1.38,0.18,,,,0,1,0,0,0.5,0,0,0.5,0,0,0,0,1,0,0
sample326,12/12/20,T3,MN3,MN3-1,6,226,27,F,0,0,0,2,1,0,1,2,0.353,2.8,199,88.05309735,1.15,1.24,0.16,,,,0,1,0,0,1.5,0,0,0,0,0,0,0,1,0,0
sample327,12/12/20,T3,MN3,MN3-1,7,167,23.6,M,0,0,0,1.5,0.5,0,1,2,0.297,2.1,144,86.22754491,1.27,1.26,0.18,,,,0,1,1,0,0.5,0,0,0,0,0,0,1,1,0,0
sample328,12/12/20,T3,MN3,MN3-1,8,162,23.6,M,0,0,0,1.5,0,0,0,2,0.283,2.6,139,85.80246914,1.23,1.6,0.17,,,,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
sample329,12/12/20,T3,MN3,MN3-1,9,216,25,F,0,1,1,2,0.5,1,0,2,0.398,3.1,185,85.64814815,1.38,1.44,0.18,,,,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0
sample330,12/12/20,T3,MN3,MN3-1,10,174,24,F,0,0,0,1,0.5,0,0,1.5,0.254,2.9,160,91.95402299,1.26,1.67,0.15,,,,0,1,0,0,1,0,0,0,0,0,0,1.5,0,0,0
sample331,12/12/20,T3,MC1,MC1-1,1,174,25,F,0,0,0,1.5,1,0,0,2,0.328,2.7,150,86.20689655,1.11,1.55,0.19,,,,0,1,,0,1,0,0,0,0,0,0,1,0.5,0,0
sample332,12/12/20,T3,MC1,MC1-1,2,165,23.3,F,0,0,0,1.5,1,0,0,1.5,0.27,2.8,143,86.66666667,1.3,1.7,0.16,,,,0,1,,1,1,0,0,1,0,0,0,0,0.5,0,0
sample333,12/12/20,T3,MC1,MC1-1,3,176,24.4,M,0,0,0,2,1,0,0,2,,3.4,149,84.65909091,1.21,1.93,,,,,0,1,0,1,1.5,0,0,0,0,0,0,0.5,0.5,0,0
sample334,12/12/20,T3,MC1,MC1-1,4,125,22.3,M,0,0,0,1.5,0,0,0,1.5,0.215,2.13,107,85.6,1.13,1.7,0.17,,,,0,1,0,0,1.5,0,0,1,0,0,0,1,0.5,0,0
sample335,12/12/20,T3,MC1,MC1-1,5,192,25.2,M,0,0,0,2,0.5,1,0,2,0.334,3.1,168,87.5,1.2,1.61,0.17,,,,0,1,,0,1,0,0,0,0,0,0,1.5,2,0,0
sample336,12/12/20,T3,MC1,MC1-1,6,171,24.6,F,0,0,0,1.5,0.5,0,0,2,0.357,2.4,146,85.38011696,1.15,1.4,0.21,,,,0,1,,1,1,0,0,0.5,0,0,0,0.5,2,0,0
sample337,12/12/20,T3,MC1,MC1-1,7,195,25.2,M,0,0,0,2,0,0,0,1,0.276,2.6,167,85.64102564,1.22,1.33,0.14,,,,0,1,,0,1,0,0,0,0,0,0,0,0.5,0,0
sample338,12/12/20,T3,MC1,MC1-1,8,165,24.4,F,0,0,0,2,0.5,0,0,1.5,0.31,2.2,146,88.48484848,1.14,1.33,0.19,,,,0,1,1,0,1,0,0,2,0,0,0,1,2,0,0
sample339,12/12/20,T3,MC1,MC1-1,9,140,22.1,M,0,1,1,2,0,0,0,2,0.262,2,120,85.71428571,1.3,1.43,0.19,,,,0,0,1,0,1,0,0,0.5,0,0,0,0,2,0,0
sample340,12/12/20,T3,MC1,MC1-1,10,172,25,F,0,0,0,1.5,1,0,0,2,0.309,3,147,85.46511628,1.1,1.74,0.18,,,,0,1,0,0,2,0,0,0.5,0,0,0,3,2,0,0
sample341,12/12/20,T3,MC2,MC2-1,1,221,24,M,0,0,0,1,0.5,0,0,1,0.411,3.06,191,86.42533937,1.6,1.38,0.19,,,,0,1,0,0,1.5,0,0,0.5,0,0,0,0.5,1,0,0
sample342,12/12/20,T3,MC2,MC2-1,2,260,26,F,0,0,0,2,0,0,0,1.5,0.423,4.5,227,87.30769231,1.48,1.73,0.16,,,,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0,0
sample343,12/12/20,T3,MC2,MC2-1,3,205,25.7,,0,0,0,2,0.5,0,0,1,0.327,2.7,178,86.82926829,1.21,1.32,0.16,,,,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0
sample344,12/12/20,T3,MC2,MC2-1,4,182,24.6,F,0,0.5,0.5,1.5,0,0,0,1.5,0.384,2.8,160,87.91208791,1.22,1.54,0.21,,,,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
sample345,12/12/20,T3,MC2,MC2-1,5,289,28.5,F,0,0,0,2,0,0,0,3,0.51,3.8,252,87.19723183,1.25,1.31,0.18,,,,0,1,0,0,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample346,12/12/20,T3,MC2,MC2-1,6,233,26.7,M,0.5,0,0.5,2,0.5,0,0,2,0.365,3.4,206,88.41201717,1.22,1.46,0.16,,,,0,1,1,0,0.5,0,0,0.5,1,0,0,0,1,0,0
sample347,12/12/20,T3,MC2,MC2-1,7,265,28.5,F,0,0,0,1.5,1,0,0,2.5,0.429,2.9,233,87.9245283,1.14,1.09,0.16,,,,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
sample348,12/12/20,T3,MC2,MC2-1,8,253,27,F,0,1,1,2,1.5,0,0,2,0.462,,218,86.16600791,1.29,,0.18,,,,0,1,1,0,1.5,0,0,1,0,0,0,0.5,2,0,0
sample349,12/12/20,T3,MC2,MC2-1,9,187,24.2,M,2,1,3,1.5,0,0,0,2,0.286,2.9,161.2,86.20320856,1.32,1.55,0.15,,,,0,1,1,0,1,0,0,0.5,0,0,0,0.5,0.5,0,0
sample350,12/12/20,T3,MC2,MC2-1,10,174.6,24.1,F,0.5,0,0.5,2,0.5,0,0,2,0.308,2.04,154,88.20160367,1.25,1.17,0.18,,,,0,1,0,0,1.5,0,0,0,0,0,0,1,0.5,0,0
sample351,08/12/20,T3,MC1,MC1-2,1,214,26,M,0,0,0,2,0,0,0,2,0.383,2.9,185,86.44859813,1.22,1.36,0.18,,,,0,1,1,0,1,0,0,0.5,0,0,0,0.5,1,0,0
sample352,08/12/20,T3,MC1,MC1-2,2,149,23.2,M,0,0,0,2,0,0,0,2,0.213,2.5,129,86.57718121,1.19,1.68,0.14,,,,0,1,0,0,1.5,0,0,0,0,0,0,0,0.5,0,0
sample353,08/12/20,T3,MC1,MC1-2,3,175,23,F,0,1,1,2,0.5,0,0,1,0.264,2.3,150,85.71428571,1.44,1.31,0.15,,,,1,1,0,0,0.5,0,0,0,0,0,0,0,1.5,0,0
sample354,08/12/20,T3,MC1,MC1-2,4,179,23.8,M,0,0,0,2,0,0,0,1.5,0.292,3,155,86.59217877,1.33,1.68,0.16,,,,0,1,0,0,1,0,0,0,0,0,0,3,0.5,0,0
sample355,08/12/20,T3,MC1,MC1-2,5,156,22.7,F,0,0,0,2,0,0,0,2,0.242,2,131,83.97435897,1.33,1.28,0.16,,,,0,1,1,0,0.5,0,0,0,0,0,0,2.5,0.5,0,0
sample356,08/12/20,T3,MC1,MC1-2,6,150,23.6,F,0,2,2,2,0.5,0,0,2,0.259,2,129,86,1.14,1.33,0.17,,,,0,1,0,0,1.5,0,0,0,0,0,0,0.5,0.5,0,0
sample357,08/12/20,T3,MC1,MC1-2,7,179,24.8,M,0,0,0,2,1,0,0,2,0.362,2.2,,,1.17,1.23,0.2,,,,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0
sample358,08/12/20,T3,MC1,MC1-2,8,152,24.1,F,2,2,4,1.5,0,0,0,1.5,0.271,1.6,131,86.18421053,1.09,1.05,0.18,,,,1,0,,1,1.5,0,0,1,0,0,0,0,1,0,0
sample359,08/12/20,T3,MC1,MC1-2,9,279,28.2,M,0.5,0.5,1,1.5,0,0,1,2,0.432,1.5,231,82.79569892,1.24,0.54,0.15,,,,0,1,1,0,1,0,0,0.5,0,0,0,3,2,0,0
sample360,08/12/20,T3,MC1,MC1-2,10,181,21.7,F,0,0,0,2,1,0,0,1,0.192,1.9,,,,1.05,0.11,,,,0,1,,0,0.5,0,0,0.5,0,0,0,0,1,0,0
sample361,08/12/20,T3,MC2,MC2-2,1,152,23.2,M,0,0,0,2,0.5,1,0,2,0.226,1.9,134,88.15789474,1.22,1.25,0.15,,,,1,1,1,0,1,0,0,0.5,0,0,0,0.5,2,0,0
sample362,08/12/20,T3,MC2,MC2-2,2,268,27.2,M,0,0,0,1.5,1,1,0,1.5,0.454,5.5,226,84.32835821,1.33,2.05,0.17,,,,1,1,,1,0.5,0,0,0,1,0,0,1,0.5,0,0
sample363,08/12/20,T3,MC2,MC2-2,3,115,21.3,F,0,1,1,2.5,0.5,0,0,1,0.275,1.4,97,84.34782609,1.19,1.22,0.24,,,,1,0,,0,0.5,0,0,0,0,0,0,1.5,1,0,0
sample364,08/12/20,T3,MC2,MC2-2,4,192,25.3,M,0,0.5,0.5,2,0.5,1,1,1.5,0.345,,165,85.9375,1.19,,0.18,,,,1,1,1,0,0.5,0,0,0,0,0,0,0,,0,0
sample365,08/12/20,T3,MC2,MC2-2,5,131,23.6,F,0,0,0,1.5,0,1,0,2,0.271,2.3,114,87.02290076,1,1.76,0.21,,,,1,1,1,1,3,0,0,0,0,0,0,0,0.5,0,1
sample366,08/12/20,T3,MC2,MC2-2,6,169.2,24.3,F,0,0,0,1.5,0.5,0,0,2,0.295,1.9,147,86.87943262,1.18,1.12,0.17,,,,1,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0
sample367,08/12/20,T3,MC2,MC2-2,7,226,26.5,F,0.5,0,0.5,2,0,1,1,2,0.361,3.5,196,86.72566372,1.21,1.55,0.16,,,,0,1,1,0,0.5,0,0,0.5,1,0,0,2,0,0,0
sample368,08/12/20,T3,MC2,MC2-2,8,182,22,F,0.5,0,0.5,2,0,0,1,2,0.32,2.9,158,86.81318681,,1.59,0.18,,,,1,1,1,0,0.5,0,0,0,0,0,0,1.5,0.5,0,0
sample369,08/12/20,T3,MC2,MC2-2,9,179,24.5,F,0,0,0,2,0,1,0,1.5,0.34,3,152,84.91620112,1.22,1.68,0.19,,,,1,1,0,0,0.5,0,0,0,0,0,0,3,0.5,0,0
sample370,08/12/20,T3,MC2,MC2-2,10,285,28.3,F,0,1,1,1.5,0,1,0,1.5,,3.8,244,85.61403509,1.26,1.33,,,,,1,1,0,0,0.5,0,0,0,1,0,0,0,0.5,0,0
sample371,08/12/20,T3,CTR,CTR-2,1,300,28.2,F,0,0,0,2,0,0,0,2,0.444,4.3,261,87,1.34,1.43,0.15,,,,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0
sample372,08/12/20,T3,CTR,CTR-2,2,218,26.7,M,0,0,0,2,0.5,1,0,1.5,0.359,2.62,191,87.6146789,1.15,1.2,0.16,,,,0,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0
sample373,08/12/20,T3,CTR,CTR-2,3,238,26.4,M,0,0,0,2,0,1,0,1,0.351,4.1,200,84.03361345,1.29,1.72,0.15,,,,0,1,1,0,1,0,0,0.5,0,0,0,0,0.5,0,0
sample374,08/12/20,T3,CTR,CTR-2,4,201,25.2,F,0,0,0,2,0.5,1,0,1.5,0.443,3.5,171,85.07462687,1.26,1.74,0.22,,,,0,1,1,0,0.5,0,0,0,1,0,0,0,2,2,0
sample375,08/12/20,T3,CTR,CTR-2,5,128,22.6,M,0,0,0,2,0.5,1,0,1,0.24,1.9,110,85.9375,1.11,1.48,0.19,,,,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0
sample376,08/12/20,T3,CTR,CTR-2,6,242,27.2,F,0,0,0,1.5,0,1,1,1.5,0.366,2.8,212,87.60330579,1.2,1.16,0.15,,,,0,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0
sample377,08/12/20,T3,CTR,CTR-2,7,168,23.2,F,0,0,0,2,0,0,0,2,0.275,2.4,143,85.11904762,1.35,1.43,0.16,,,,0,1,0,0,0.5,0,0,0,0,0,0,0,2,0,0
